"date","day_of_week","month","year","open","close","high","low"
"10/01/2007","Wednesday","January",2007,42001,42336,42336,41266
"11/01/2007","Thursday","January",2007,42336,42670,43128,41940
"12/01/2007","Friday","January",2007,42669,43095,43188,42526
"15/01/2007","Monday","January",2007,43095,42919,43473,42875
"16/01/2007","Tuesday","January",2007,42916,42624,42916,42415
"17/01/2007","Wednesday","January",2007,42626,42735,42930,42252
"18/01/2007","Thursday","January",2007,42741,42478,43402,42407
"19/01/2007","Friday","January",2007,42477,43428,43428,42477
"22/01/2007","Monday","January",2007,43431,43553,43879,43183
"23/01/2007","Tuesday","January",2007,43549,44177,44243,43432
"24/01/2007","Wednesday","January",2007,44177,44687,44808,44041
"26/01/2007","Friday","January",2007,44687,44412,44687,43870
"29/01/2007","Monday","January",2007,44414,43573,44435,43555
"30/01/2007","Tuesday","January",2007,43573,44044,44065,43508
"31/01/2007","Wednesday","January",2007,44046,44642,44643,43824
"01/02/2007","Thursday","February",2007,44642,44815,45212,44642
"02/02/2007","Friday","February",2007,44815,44998,45204,44597
"05/02/2007","Monday","February",2007,44999,45286,45286,44851
"06/02/2007","Tuesday","February",2007,45287,45352,45486,45038
"07/02/2007","Wednesday","February",2007,45352,44588,45425,44488
"08/02/2007","Thursday","February",2007,44585,44892,44892,44070
"09/02/2007","Friday","February",2007,44894,44284,45050,44180
"12/02/2007","Monday","February",2007,44286,43935,44464,43850
"13/02/2007","Tuesday","February",2007,43932,45197,45197,43932
"14/02/2007","Wednesday","February",2007,45198,45996,46106,45198
"15/02/2007","Thursday","February",2007,45996,45955,46178,45734
"16/02/2007","Friday","February",2007,45955,45849,45966,45614
"21/02/2007","Wednesday","February",2007,45849,46090,46095,45558
"22/02/2007","Thursday","February",2007,46097,46452,46752,46097
"23/02/2007","Friday","February",2007,46452,46016,46517,45813
"26/02/2007","Monday","February",2007,46021,46207,46450,45885
"27/02/2007","Tuesday","February",2007,46190,43145,46190,42571
"28/02/2007","Wednesday","February",2007,43150,43892,43923,43122
"01/03/2007","Thursday","March",2007,43886,43517,43886,42037
"02/03/2007","Friday","March",2007,43518,42370,43518,42297
"05/03/2007","Monday","March",2007,42370,41179,42370,41117
"06/03/2007","Tuesday","March",2007,41192,43218,43218,41192
"07/03/2007","Wednesday","March",2007,43224,42667,43396,42660
"08/03/2007","Thursday","March",2007,42672,43466,43726,42672
"09/03/2007","Friday","March",2007,43466,44133,44173,43466
"12/03/2007","Monday","March",2007,44133,44249,44406,43845
"13/03/2007","Tuesday","March",2007,44249,42749,44249,42724
"14/03/2007","Wednesday","March",2007,42749,43288,43290,42051
"15/03/2007","Thursday","March",2007,43289,43278,43573,42951
"16/03/2007","Friday","March",2007,43278,42730,43568,42598
"19/03/2007","Monday","March",2007,42734,43713,43714,42734
"20/03/2007","Tuesday","March",2007,43713,44351,44353,43679
"21/03/2007","Wednesday","March",2007,44350,45631,45631,44350
"22/03/2007","Thursday","March",2007,45631,45424,45950,45272
"23/03/2007","Friday","March",2007,45425,45533,45759,45168
"26/03/2007","Monday","March",2007,45533,45645,45712,44965
"27/03/2007","Tuesday","March",2007,45646,45207,45646,45143
"28/03/2007","Wednesday","March",2007,45204,44484,45204,44315
"29/03/2007","Thursday","March",2007,44493,45355,45570,44493
"30/03/2007","Friday","March",2007,45355,45805,45805,45138
"02/04/2007","Monday","April",2007,45805,45597,45805,45225
"03/04/2007","Tuesday","April",2007,45601,46288,46481,45601
"04/04/2007","Wednesday","April",2007,46290,46554,46692,46113
"05/04/2007","Thursday","April",2007,46555,46647,46767,46418
"09/04/2007","Monday","April",2007,46650,46855,47239,46650
"10/04/2007","Tuesday","April",2007,46855,47174,47234,46822
"11/04/2007","Wednesday","April",2007,47173,46939,47573,46680
"12/04/2007","Thursday","April",2007,46941,47347,47389,46506
"13/04/2007","Friday","April",2007,47347,47926,47968,47267
"16/04/2007","Monday","April",2007,47925,48921,49022,47925
"17/04/2007","Tuesday","April",2007,48923,48755,49156,48631
"18/04/2007","Wednesday","April",2007,48760,48710,49339,48456
"19/04/2007","Thursday","April",2007,48705,48762,48837,47917
"20/04/2007","Friday","April",2007,48763,49408,49459,48763
"23/04/2007","Monday","April",2007,49409,49162,49477,49097
"24/04/2007","Tuesday","April",2007,49162,49071,49259,48602
"25/04/2007","Wednesday","April",2007,49072,49676,49816,49072
"26/04/2007","Thursday","April",2007,49678,49068,49856,49060
"27/04/2007","Friday","April",2007,49067,49230,49232,48311
"30/04/2007","Monday","April",2007,49222,48956,49482,48744
"02/05/2007","Wednesday","May",2007,48955,49472,49630,48953
"03/05/2007","Thursday","May",2007,49472,50218,50318,49472
"04/05/2007","Friday","May",2007,50218,50598,50898,50218
"07/05/2007","Monday","May",2007,50591,50282,50618,50154
"08/05/2007","Tuesday","May",2007,50276,50278,50369,49526
"09/05/2007","Wednesday","May",2007,50277,51300,51369,50149
"10/05/2007","Thursday","May",2007,51298,50235,51298,50205
"11/05/2007","Friday","May",2007,50235,50902,51083,50235
"14/05/2007","Monday","May",2007,50910,50511,51066,50298
"15/05/2007","Tuesday","May",2007,50511,50518,51042,50370
"16/05/2007","Wednesday","May",2007,50518,51738,51738,50518
"17/05/2007","Thursday","May",2007,51741,51631,51959,51374
"18/05/2007","Friday","May",2007,51633,52078,52088,51499
"21/05/2007","Monday","May",2007,52078,52423,52691,52078
"22/05/2007","Tuesday","May",2007,52424,52208,52561,52039
"23/05/2007","Wednesday","May",2007,52210,51813,52505,51670
"24/05/2007","Thursday","May",2007,51813,50531,51891,50214
"25/05/2007","Friday","May",2007,50541,51618,51633,50541
"28/05/2007","Monday","May",2007,51616,52120,52209,51616
"29/05/2007","Tuesday","May",2007,52121,51713,52545,51271
"30/05/2007","Wednesday","May",2007,51706,52528,52595,50607
"31/05/2007","Thursday","May",2007,52536,52268,52877,52098
"01/06/2007","Friday","June",2007,52271,53423,53423,52271
"04/06/2007","Monday","June",2007,53423,53243,53423,52651
"05/06/2007","Tuesday","June",2007,53245,53162,53271,52673
"06/06/2007","Wednesday","June",2007,53162,52049,53162,51869
"08/06/2007","Friday","June",2007,52045,52330,52500,50885
"11/06/2007","Monday","June",2007,52324,52777,52952,52184
"12/06/2007","Tuesday","June",2007,52776,51797,52776,51643
"13/06/2007","Wednesday","June",2007,51799,52994,53226,51799
"14/06/2007","Thursday","June",2007,53011,53713,53798,53009
"15/06/2007","Friday","June",2007,53723,54519,54726,53723
"18/06/2007","Monday","June",2007,54519,54730,55000,54355
"19/06/2007","Tuesday","June",2007,54730,54644,54797,54450
"20/06/2007","Wednesday","June",2007,54644,54029,55003,54029
"21/06/2007","Thursday","June",2007,54030,54657,54844,53911
"22/06/2007","Friday","June",2007,54644,54267,54644,53952
"25/06/2007","Monday","June",2007,54270,54042,54605,53605
"26/06/2007","Tuesday","June",2007,54045,53852,54413,53842
"27/06/2007","Wednesday","June",2007,53852,54143,54164,53202
"28/06/2007","Thursday","June",2007,54154,54147,54648,54147
"29/06/2007","Friday","June",2007,54150,54392,54783,53958
"02/07/2007","Monday","July",2007,54396,55371,55386,54396
"03/07/2007","Tuesday","July",2007,55371,55700,55783,55259
"04/07/2007","Wednesday","July",2007,55698,55696,56000,55598
"05/07/2007","Thursday","July",2007,55696,55932,55932,55345
"06/07/2007","Friday","July",2007,55932,56444,56444,55932
"10/07/2007","Tuesday","July",2007,56444,55883,56544,55678
"11/07/2007","Wednesday","July",2007,55882,56356,56495,55628
"12/07/2007","Thursday","July",2007,56380,57613,57676,56378
"13/07/2007","Friday","July",2007,57613,57644,57983,57327
"16/07/2007","Monday","July",2007,57644,57374,57666,57035
"17/07/2007","Tuesday","July",2007,57376,57660,57799,57307
"18/07/2007","Wednesday","July",2007,57660,57556,57660,56903
"19/07/2007","Thursday","July",2007,57556,58125,58293,57556
"20/07/2007","Friday","July",2007,58125,57443,58125,57103
"23/07/2007","Monday","July",2007,57443,58037,58070,57443
"24/07/2007","Tuesday","July",2007,58036,55795,58057,55165
"25/07/2007","Wednesday","July",2007,55797,56001,56409,54520
"26/07/2007","Thursday","July",2007,55998,53893,55998,52627
"27/07/2007","Friday","July",2007,53893,52922,54407,52922
"30/07/2007","Monday","July",2007,52925,54573,54790,52925
"31/07/2007","Tuesday","July",2007,54602,54183,55662,54169
"01/08/2007","Wednesday","August",2007,54170,54234,54234,53036
"02/08/2007","Thursday","August",2007,54245,54691,54959,54202
"03/08/2007","Friday","August",2007,54697,52846,54725,52575
"06/08/2007","Monday","August",2007,52846,53091,53207,51317
"07/08/2007","Tuesday","August",2007,53092,53802,54113,52746
"08/08/2007","Wednesday","August",2007,53804,55241,55616,53804
"09/08/2007","Thursday","August",2007,55213,53431,55213,53324
"10/08/2007","Friday","August",2007,53431,52638,53431,51682
"13/08/2007","Monday","August",2007,52647,52434,53670,52202
"14/08/2007","Tuesday","August",2007,52434,50912,52945,50912
"15/08/2007","Wednesday","August",2007,50912,49285,51286,49106
"16/08/2007","Thursday","August",2007,49281,48016,49281,44938
"17/08/2007","Friday","August",2007,48026,48559,49588,46877
"20/08/2007","Monday","August",2007,48561,49206,49574,48561
"21/08/2007","Tuesday","August",2007,49208,49815,50064,48739
"22/08/2007","Wednesday","August",2007,49815,51745,51749,49815
"23/08/2007","Thursday","August",2007,51745,51848,52351,51082
"24/08/2007","Friday","August",2007,51845,52998,52998,51390
"27/08/2007","Monday","August",2007,52995,53078,53396,52502
"28/08/2007","Tuesday","August",2007,53072,51645,53072,51390
"29/08/2007","Wednesday","August",2007,51648,52735,52810,51647
"30/08/2007","Thursday","August",2007,52728,52858,53645,52223
"31/08/2007","Friday","August",2007,52874,54637,54715,52874
"03/09/2007","Monday","September",2007,54641,54833,54998,54519
"04/09/2007","Tuesday","September",2007,54834,55250,55566,54588
"05/09/2007","Wednesday","September",2007,55243,54408,55243,54156
"06/09/2007","Thursday","September",2007,54413,54569,55094,54413
"10/09/2007","Monday","September",2007,54554,52653,54554,52321
"11/09/2007","Tuesday","September",2007,52660,53921,53954,52660
"12/09/2007","Wednesday","September",2007,53922,53883,54622,53718
"13/09/2007","Thursday","September",2007,53883,54908,55087,53883
"14/09/2007","Friday","September",2007,54909,54671,55465,54378
"17/09/2007","Monday","September",2007,54671,54341,54733,53691
"18/09/2007","Tuesday","September",2007,54351,56666,56844,54351
"19/09/2007","Wednesday","September",2007,56675,57264,58079,56675
"20/09/2007","Thursday","September",2007,57263,56906,57609,56607
"21/09/2007","Friday","September",2007,56919,57799,57899,56919
"24/09/2007","Monday","September",2007,57799,58719,58719,57799
"25/09/2007","Tuesday","September",2007,58717,58858,58862,57969
"26/09/2007","Wednesday","September",2007,58859,59715,59825,58859
"27/09/2007","Thursday","September",2007,59713,61052,61052,59713
"28/09/2007","Friday","September",2007,61054,60465,61054,60086
"01/10/2007","Monday","October",2007,60465,62340,62355,60465
"02/10/2007","Tuesday","October",2007,62341,62017,62356,61241
